id	muchik	spanish
877	funocop%C3%A6c	jurado,%20sustentador
878	rucop%C3%A6coz%20%28C%29,%20%C3%B1ie%C3%B1%20%28C%29	jurar%0A-%20Jurar%20en%20vano%20=%20ma%C3%B1%C3%A6p%20ei%C3%B1,%20ma%C3%B1%C3%A6p%20%C3%A6z
879	justiciang	justicia
880	kak%20%28M%29	ladrar
881	mis%20%28L%29,%20omorr%20%28M%29,%20omor%20%28C%29%28V%29	ladr%C3%B3n,%20estafador,%20hurtador
882	ssantek%20%28M%29	lagartija
883	%C3%91ampaxll%C3%A6c%20%28L%29,%20%C3%91ampasek	Lambayeque%0A-%20Voy%20a%20Lambayeque%20=%20Nampaxll%C3%A6c%20oi%C3%B1%20t%C3%A6c%20%28V%29%0A-%20Voy%20hacia%20Lambayeque%20=%20%C3%91ampaxll%C3%A6c%20totna%20oi%C3%B1%20t%C3%A6c%20%28V%29
884	%C3%B1ap%20%28M%29	lamer
885	kiden%20%28M%29,%20untek%20%28M%29	lanzadera
886	lapang%20%28C%29,%20lapa%20%28B%29	lapa%0A-%20En%20la%20lapa%20=%20lapang%20nic%20%28V%29
887	muts%20%28M%29	largo
888	%C3%B1ang%C3%A4r%20%28M%29	lascivo,%20imp%C3%BAdico
889	jaktum%20%28M%29,%20jactu%20%28B%29	l%C3%A1tigo
890	%C3%B1at%20%28M%29,%20aik%20%28M%29	lavar%0A-%20Lavar%20tu%20cara%20=%20aikan%20ai%20tot%20%28cara%20=%20tot%29
891	ts%C3%A4tsu,%20chichu%20%28M%29	leche,%20senos%0A-%20Leche%20con%20agua%20=%20chichu%20j%C3%A4%20-%20foi%C3%B1
892	puco,%20pucu%20%28C%29,%20puku%20%28M%29	lechuza%0A-%20Lechuza%20de%20iglesia%20=%20palyo%20tsuk%20%28B%29%0A-%20Lechuza%20de%20tierra%20=%20chekchek%20%28B%29%0A-%20De%20la%20lechuza%20=%20pucungo
893	jotsok%20%28B%29,%20nyetgots%20%28B%29,%20s%C3%ADpes%20%28B%29	lega%C3%B1oso%20%28a%29
894	poksu%20%28B%29	leguminosa%20%28con%20flor%20amarilla%29
895	siet%20%28M%29,%20etot%20%28M%29	lejano
896	siet%20%28M%29,%20sheitna%20%28B%29,%20s%C3%A4tnan%20%28B%29	lejos%0A-%20Muy%20lejos%20=%20sietena%20%28Bas%29
897	ed%20%28C%29%28M%29,%20%C3%A6tz%20%28Bas%29	lengua
898	facch%20%28RS%29,%20facche%20%28Z%29%28L%29,%20fachica%20%28V%29,%20fachka%20%28B%29	le%C3%B1a
899	fa%C3%B1ique,%20facch	le%C3%B1itas
900	rac%20%28C%29,%20rak%20%28M%29,%20rakeio	le%C3%B3n,%20tigre
901	fup%20%28M%29	levantar
902	jong%20%28M%29	levantarse,%20alzarse
903	pikass%C3%A4k%20%28M%29	liberalidad,%20donativo
904	ef%20%28M%29,%20ssol%20%28M%29	liberar,%20salvar,%20soltar
905	solei%C3%B1%20%28M%29,%20aik%20%28M%29,%20efei%C3%B1%20%28M%29	libertar
906	efcon%20%C3%B1of	libranos
907	cofunta%20%28C%29	libre,%20independiente
908	%C3%B1esko%20%28L%29%28K-P%29	licor
909	pullna%20%28C%29	ligeramente,%20con%20ligereza
910	hem%20%28K-P%29	ligero
911	niquer%20%28Z%29,%20miker%20%28M%29%28L%29	ligero,%20%C3%A1gil
912	Limac	Lima%0A-%20Por%20Lima%20=%20Limac%20na%20%28V%29
913	%C3%B1ap%20%28M%29	limpiar,%20limpio
914	she%20meteque%20%28L%29	l%C3%ADo,%20bulto
915	milli%20%28M%29	liso,%20tranquilo
916	chekne%20%28B%29	lito%20%28vegetal%29%0A-%20Similar%20al%20%22platanito%22,%20de%20donde%20se%20sacaba%20la%20lej%C3%ADa,%20para%20el%20jab%C3%B3n
917	tumi	lobo%20marino
918	rremic%20%28V%29,%20rometec%20%28V%29%28L%29%28Z%29,%20pirchi%20zoerna%20%28C%29	loco,%20alienado,%20perturbado,%20atolondrado,%20insensato
919	l%C3%B6ts%20%28B%29	loche
920	turre%20%28B%29	lombriz
921	chark%20%28B%29	loro
922	kozkik%20%28M%29	lucero
923	c%C3%A6plluc%C9%A5%20%28V%29	luces,%20entre%20dos%20luces
924	feeche%20%28B%29,%20f%C3%A4ss%20%28M%29,%20f%C3%A6ss%20%28C%29,%20f%C3%B6s%20%28SCH%29	l%C3%BAcuma
925	exllec,%20ejek%20%28M%29	luego%0A-%20Luego%20que%20=%20xoquech%20%28V%29
926	iun%20%28M%29,%20%C3%B1un	lugar,%20pueblo%0A-%20En%20el%20lugar%20=%20%C3%A7ina%20na%20%28V%29
927	c%C3%A6f%C3%A6r%20%28C%29,%20k%C3%A4far%20%28M%29	lugarteniente,%20sustituto
928	rem%20%28L%29%28V%29,%20si%20%28Mar%29,%20tsi%20%28Bas%29	luna%0A-%20Diosa%20luna%20=%20shi%20%28B%29
929	rem%20%28M%29	luna%20brillante
930	rremic%20%28C%29,%20rem%20%28Bas%29,%20ren%20%28L%29	luna%20llena
931	sic%C3%A1n	casa%20de%20la%20luna
932	llic%C3%A6n%20%28C%29	lunar
933	pak%C3%ADnen	lunes%20%282%20d%C3%ADas%29
934	ma%C3%B1ir%20%28C%29	lupanar
935	inen%20%28M%29	luz
936	xllipcon%20%28V%29	llama%20%28imperativo%29%0A-%20El%20que%20llama%20o%20habla%20=%20xllipc%C3%A6m%C3%A6d,%20xllipc%C3%A6m%C3%A6d%20eio
937	jipco%20%28M%29,%20jipkessek%20%28M%29	llamada,%20tentaci%C3%B3n
938	efen%20az%20kllip%20quem%C3%A6do%20%28V%29	de%20tu%20padre%20fuiste%20llamado
939	xllip%20que%20can%20moi%C3%B1%20eiz	ll%C3%A1mame%20a%20mi%20hijo
940	xllip%20quem%20ang%20%28V%29	ll%C3%A1manlo
941	xllip%20coi%C3%B1%20%28C%29,%20jipko,%20xllipco%20%28V%29,%20xllip%20codoi%C3%B1%20poe%20%28V%29	llamar%0A-%20%C2%BFA%20qui%C3%A9n%20llamas%3F%20=%20ei%C3%B1%C3%A6z%20xllipco%3F%0A-%20Ser%20llamado%20=%20xllip%20quem%20ei%C3%B1%20%28C%29
942	cacamc%20%28C%29,%20cacam%20coz%20%28V%29	llamar%20a%20gritos
943	ma%C3%B1apei%C3%B1o%20%28M%29,%20poc%20%28C%29,%20p%C3%B6k%20%28M%29	llamarse%0A-%20Me%20llamo%20=%20ei%C3%B1%20poc%20%28V%29
944	xllipc	llamo
945	fam%20%28B%29	llanto
946	chep%20%28M%29	llanura
947	tes%C3%A4k%20%28M%29	llegada,%20venida
948	si%C3%A4p%20%28M%29	llegar%20a%20ser
949	machko%20%28M%29	llenar
950	meintop%20%28M%29	lleno
951	tzhcad%20%28V%29	llevado%0A-%20Yo%20soy%20llevado%20=%20tzhac%20%C3%A6r%20ei%C3%B1,%20tzhac%20%C3%A6n%20ei%C3%B1%20%28V%29%0A-%20Para%20ser%20llevado%20=%20tzhacar%20nem%20%28V%29
952	tzhaqu%20iz%C3%A7c%C3%A6c,%20tzhaqu%20izc%C3%A6ro%20%28V%29	llevador
953	tzhaqu%20ei%C3%B1,%20tzhac%20%C3%A6z,%20tzhac%20adai%C3%B1%20%28V%29	llevar%0A-%20Para%20llevar%20=%20tzhac%20n%C3%A6m%20%28V%29%0A-%20Para%20ser%20llevado%20=%20tzhcar%20nem%20%28V%29%0A-%20Para%20llevarte%20traigo%20este%20cabello%20=%20tzhang%20tzhac%20n%C3%A6moi%C3%B1%20met%20mo%20col
954	nuco%20%28C%29,%20nuk%20%28M%29	llevar,%20empujar,%20incitar
955	tzhaqu%20%28C%29,%20tzhec%20%28C%29,%20tsak%20%28M%29,%20tzhac%C3%A6r%20%28V%29	llevar,%20portar
956	tzhe%20can%20%28V%29	lleva%20t%C3%BA
957	tzhec%20ch%C3%A6m%20%28V%29	llevar%C3%A9
958	tzhaqu%20ei%C3%B1%20%28V%29	yo%20llevo
959	fam%20%28WL%29%28C%29,%20tamicec%20%28Mar%29	llorar%0A-%20El%20que%20llora%20=%20fam%20ap%C3%A6c%20%28V%29%0A-%20Yo%20suelo%20llorar%20=%20fam%20ap%C3%A6c%20oi%C3%B1%20%28V%29
960	fam%20%28B%29	llorar,%20gritar
961	oj%20%28M%29,%20og%20%28Mar%29,%20nam%20%28B%29,%20oxll%20%28C%29	lluvia
962	nam%20%28C%29,%20%C3%B1am%20%28M%29,%20tuij%20%28M%29	nacer
963	its%20%28B%29	nada
964	ni%20%28M%29,%20ning%C3%B3%20%28M%29	nadie
965	%C3%B1itir%20%28M%29,%20pot%20%28V%29,%20potes%20%28L%29	nalgas,%20asentaderas
966	fone%20%28RS%29,%20fon%20%28M%29%28B%29,%20fonkik%20%28M%29,%20ponen%20%28L%29	nariz
967	kocha%20%28M%29,%20kochang%C3%B3%20%28M%29,%20kats	neblina
968	ch%C3%A1fer%20%28B%29,%20fag%20%28Bas%29,%20fak%20%28M%29,%20facque%20%28L%29,%20fachpe%20%28Z%29,%20chafca%20%28L%29%28Q%29%28Z%29,%20chafka%20%28Bas%29	negro
969	ss%C3%A6p%C3%A6r%20%28C%29,%20s%C3%A4per%20%28M%29	nervio,%20el%20nervio
970	sh%C3%A1cche%20%28B%29,%20sakcha%20%28M%29	nido
971	sar%C3%B1et%20%28L%29	nieta
972	ro%C3%B1et%20%28L%29,%20mejn%C3%A4k%20%28M%29	nieto
973	llaplap%20%28B%29%28SCH%29	ninfea
974	chisi%20%28M%29,%20tzhici	ni%C3%B1a
975	loc%C9%A5e%20chicis%20%28C%29	ni%C3%B1a%20%28de%20los%20ojos%29
976	tzhici%20%28C%29,%20chisi%20%28M%29	ni%C3%B1o%0A-%20Para%20el%20ni%C3%B1o%20=%20tzhicingo%20p%C3%A6n%20%28V%29%0A-%20Del%20ni%C3%B1o%20=%20tzhicing%20%28V%29%0A-%20Siendo%20yo%20ni%C3%B1o%20=%20moi%C3%B1%20tzhiciio
977	chijllu%20%28M%29	ni%C3%B1o%20Dios,%20elegido
978	kiche%20%28Q%29%28K-P%29	ni%C3%B1o%20a%20la%20espalda
979	fenequit%20%28Q%29%28K-P%29	ni%C3%B1o%20%C3%BAltimo
980	%C3%A6nta%20%28V%29%28C%29,%20%C3%A4nta%20%28M%29,%20ino%20%28C%29%28M%29,%20teh%20%28Bas%29,%20tan%20%28M%29,%20%C3%A1mos%20%28B%29,%20	no%0A-%20No%20sabe%20emborracharse%20=%20%C3%A6nta%20chemepo%20%28V%29%0A-%20No%20sabe%20estar%20sentado%20=%20%C3%A6nta%20felo%20%28V%29
981	%C3%A6nta%20fezta%20%28V%29	no%20es
982	am%C3%A9s	no%20est%C3%A1%20
983	tain%20pesta%20%28Bas%29	no%20tiene
984	tanchki%20%28M%29,%20tan%20ichiste%20%28Bas%29	no%20hay
985	amoss%20%28C%29	no%20quiero
986	tainka,%20pesta%20kan%20%28Bas%29	no%20s%C3%A9%20
987	fisllka%20%28M%29,%20fijka%20%28M%29,%20filca%20%28Z%29	noble%20%28clase%20social%29,%20caballero
988	neis%20%28L%29%28Z%29%28Q%29	noche%0A-%20Por%20las%20noches%20=%20neis%0A-%20Ya%20de%20noche%20=%20neis%20%28C%29%0A-%20A%20media%20noche%20=%20n%C3%A6iaxll%0A-%20En%20la%20noche%20de%20fiesta%20=%20nik%20farrek%20neiz
989	ner%20%28B%29,%20neiz	noche
990	ek%20%28M%29,%20eng%20%28C%29,%20ec,%20ma%C3%B1ap%20%28C%29%28M%29	nombrar,%20decir,%20pronunciar
991	oc%20%28C%29,%20ok%20%28M%29,%20okei%C3%B3%20%28M%29	nombre
992	fochich%20%28C%29	norte,%20el%20norte%0A-%20Hacia%20el%20norte%20=%20foich%20totna%20%28V%29%0A-%20Por%20el%20norte%20=%20foich%20na%0A-%20Al%20norte%20=%20foic%C9%A5%20totna%20%28V%29
993	m%C3%A6ich%20%28C%29%28M%29,%20eix%20%28C%29,%20tix%20%28C%29	nosotros%0A-%20Nosotros%20somos%20=%20m%C3%A6iche%20e%0A-%20De%20nosotros%20=%20m%C3%A6icho%20%28V%29%0A-%20Todos%20nosotros%20=%20izc%C3%A6c%20%C3%A6n%20m%C3%A6ich%0A-%20Para%20nostros%20=%20m%C3%A6icho%20p%C3%A6n%20%28V%29
994	apiss%C3%A4k%20%28M%29,%20apissk%C3%A4ro,%20ssias%20%28M%29	noticia,%20instrucci%C3%B3n,%20palabra
995	shaninsic%20%28L%29	novelera
996	i%C3%B1icuc%20%28C%29,%20y%C3%B1icuc,%20i%C3%B1ikuk%20%28M%29	novia
997	uiz,%20uz%20%28M%29	nube
998	utso%20%28M%29,%20uts	nublado
999	senke%20%28M%29,%20senque%20%28B%29	nuca,%20pescuezo,%20cuello
1000	jen%20pan%20%28M%29	nudo
1001	m%C3%A6ich,%20meich%20%28M%29	nuestro
1002	jap%20%28M%29	nuevo,%20nuevos
1003	ijik%20%28M%29,%20ejek%20esta%20%28M%29,%20ijk%20esta%20%28M%29	nunca,%20jam%C3%A1s
1004	porrf%C3%B3n%20%28B%29	%C3%B1ato%20%28a%29
1005	potpi%20%28B%29%28SCH%29	%C3%B1orbo%20%28meloncito%20silvestre%29
1006	%C3%ADbram%20%28B%29,%20l%C3%ADbram	%C3%B1uto%20%28segunda%20coladura%20de%20chicha%29
1007	nanku%20%28M%29,%20nankuio,%20%C3%B1angcu%20%28C%29	macho
1008	apap%C3%A4k%20%28M%29	maestro
1009	pup%20%28L%29%28V%29%28B%29	madera,%20palo,%20tronco
1010	mutsan,%20muchan%20%28M%29	madrastra
1011	mai%20luc%C9%A5	a%20la%20madrugada
1012	Diosi%20eng	madre%20de%20Dios
1013	en%20%28B%29,%20eng%20%28M%29%28C%29,%20enquic%20%28Mar%29,%20minieng%20%28Bas%29,%20em%20%28L%29	madre
1014	chik,%20chuk%20%28M%29	maduro
1015	koti%20%28M%29	magro,%20flaco
1016	mang%20%28C%29,%20man%20%28Bas%29%28B%29%28L%29,%20mang%C3%A6%20%28M%29	ma%C3%ADz%20
1017	tsayo%20%28M%29,%20sallo%20%28B%29,%20say%20%28L%29,%20sai%20%28Kos%29,%20shaio%20%28Z%29,%20sollern	ma%C3%ADz%20cocido
1018	tep%20tep%20%28K-P%29%28Q%29	mal%20gusto
1019	piss%20%28C%29,%20pong%C3%B3%20%28M%29,%20etestot%20%28B%29	malo,%20pesado%0A-%20Es%20malo%20=%20piss%20ang%20%28V%29%0A-%20Muy%20malo%20=%20campiss
1020	pir%20mecha	manco
1021	ssap%20%28M%29,%20sap%20%28B%29,%20sape%20%28Z%29%28L%29	mandamiento,%20boca
1022	lli%C3%A7%C3%A6c%20%28C%29,%20llikss%C3%A4k,%20ssap%20%28WL%29	mandato,%20%C3%B3rdenes,%20creencia,%20veneraci%C3%B3n
1023	kangchu%20%28M%29	mand%C3%ADbula
1024	pissozta%20%28V%29	de%20ninguna%20manera%0A-%20De%20qu%C3%A9%20manera%20=%20emio
1025	mun%C3%A6s%20%28Cal%29	manes%20familiares
1026	chocop	man%C3%AD
1027	meelcha%20%28B%29,%20metse%20%28L%29%28Q%29,%20m%C3%A6c%C9%A5a%20%28C%29,%20metza%20%28Bas%29,%20m%C3%A4cha%20%28M%29	mano%0A-%20Con%20la%20mano%20=%20m%C3%A6c%C9%A5er%0A-%20En%20las%20manos%20=%20m%C3%A6c%C9%A5%C3%A6c
1028	c%C9%A5ilpi%20%28C%29,%20c%C9%A5ilpiss%20%28C%29	manta%0A-%20Debajo%20de%20la%20manta%20=%20c%C9%A5ilping%20ssec%C3%A6n%20%28V%29
1029	cunuc%20%28C%29,%20cunur%20%28C%29,%20c%C9%A5uscu%20%28C%29	manta%20de%20dormir
1030	jujuna%20%28Q%29%28Kos%29%28RS%29	mantel%20de%20mesa,%20lajuna
1031	caix%20%28C%29,%20kais%20%28M%29	mantener,%20conservar,%20sustentar
1032	ne%20hec%20%28RS%29	manto%20envuelto
1033	chillpi%20%28M%29,%20chillpiss%20%28M%29	mant%C3%B3n,%20abrigo
1034	chic%C3%A6r,%20chic%C3%A6r%20ei%C3%B1	ma%C3%B1a
1035	n%C3%A4sna	ma%C3%B1ana%0A-%20Muy%20de%20ma%C3%B1ana%20=%20neiznana%0A-%20Por%20la%20ma%C3%B1ana%20=%20n%C3%A4sna
1036	nin%20%28V%29,%20mii%20%28B%29,%20ni%20%28M%29,%20ponpormai%20%28L%29	mar%0A-%20Playa%20de%20mar%20=%20%C3%B1in%20s%C3%A1pek%20%28B%29
1037	jaks%20%28M%29,%20kaks%20%28M%29	marchar
1038	%C3%B1ang%20%28C%29%28M%29,%20%C3%B1an%20%28Z%29,%20nam%20%28L%29,%20nan%20%28Q%29,%20diviopadam%20%28V%29	marido
1039	sok%C3%ADnen	martes%20%283%20d%C3%ADas%29
1040	cham%20%28M%29	marr%C3%B3n
1041	%C3%A1mak	m%C3%A1s%20%28adv%29
1042	sheitna%20%28B%29,%20lec%C9%A5na%20%28C%29%28V%29,%20lechna%20%28Z%29,%20jechna%20%28M%29	m%C3%A1s,%20m%C3%A1s%20bien
1043	metna%20%28V%29	m%C3%A1s%20ac%C3%A1%20%0A-%20Que%20m%C3%A1s%20=%20echallo%20%28V%29
1044	rr%C3%A4m%20%28M%29	masticar,%20morder
1045	tun%20%28M%29,%20tumap%C3%A6coi%C3%B1,%20tunap%C3%A6coz%20%28V%29	matar,%20golpear
1046	ui%C3%B1%20%28M%29,%20villos%20%28M%29,%20choc%20%28B%29	mate
1047	ton%20ei%C3%B1,%20ton%20az%20%28V%29	mato,%20matas
1048	pullmur%20%28M%29	matorral
1049	m%C3%A6toc%20%28C%29,%20mutok%20%28M%29	mayor%0A-%20El%20mayor%20en%20edad%20=%20lec%C9%A5%20chip%C3%A6c,%20lec%C9%A5%20chip%C3%A6c%20%C3%A6ro
1050	yemeque,%20ll%C3%A9mec	mazamorra%20de%20ma%C3%ADz,%20espesado
1051	c%C3%A1sher%20%28B%29	mear
1052	tu	medicina
1053	oketlupuk%20%28Cal%29	m%C3%A9dico%20
1054	nass%20%28M%29,%20%C3%B1oss%C3%A6n%20%28C%29	medida
1055	niquich	de%20en%20medio
1056	nik%20%28M%29,%20nic%20%28V%29	en%20medio%20de,%20dentro
1057	jech%C3%A4k%20%28M%29	medio%20d%C3%ADa%20
1058	chech%20%28M%29,%20c%C9%A5ec%C9%A5%20%28C%29	mejilla,%20carrillo
1059	jech%C3%A4k%20machiss%C3%A4k%20%28M%29	memoria,%20recuerdo%0A-%20T%C3%B3malo%20de%20memoria%20=%20lec%C9%A5%C3%A6c%20an%20mac%C9%A5%20%28V%29
1060	u%C3%B1o%20%28C%29%28M%29	menor,%20bajo
1061	chuij%20%28M%29	menos
1062	fai%C3%B1%20%28M%29,%20fa%C3%B1%20%28C%29	mentir%0A-%20Con%20mentira%20=%20%C3%B1ai%C3%B1t%C3%A6c%20na,%20fai%C3%B1%20t%C3%A6cna%0A-%20No%20mientas%20=%20amoz%20fai%C3%B1%20%28V%29
1063	jarmensap%20%28RS%29,%20%C3%B1etesap%20%28Z%29,%20%C3%B1etesapec%20%28PK%29	mentiroso
1064	fa%C3%B1ap%C3%A6c%20%28C%29,%20fa%C3%B1ap%C3%A4k,%20%C3%B1etesapec%20%28V%29%28Q%29	mentiroso,%20falso
1065	lec%C9%A5cu%20%28Q%29,%20jechku%20%28M%29,%20kichku%20%28M%29	me%C3%B1ique%20%28dedo%29
1066	katu%20%28M%29,%20katung%C3%B3%20%28M%29	mercado%20%28plaza%29
1067	n%C3%A4ss%20%28M%29,%20naus%20%28V%29,%20ness%20%28M%29	mes
1068	asemi%20%28V%29	mesa
1069	sen%20%28M%29	meter
1070	nuquec%20%28C%29,%20n%C3%BCk%20%28M%29	mezclar%0A-%20Mezclo%20todo%20=%20niquec%20ei%C3%B1%20iz%C3%A7%C3%A6c
1071	m%C3%A6i%C3%B1o%20%28V%29	de%20m%C3%AD
1072	m%C3%A6i%C3%B1o%20p%C3%A6n%20%28V%29	para%20m%C3%AD
1073	irr%C3%A6m%20%28C%29	miedo%0A-%20Tener%20miedo%20=%20irrim%C3%A6,%20cai%C3%B1,%20irr%C3%A6maz,%20irr%C3%A6mai%C3%B1
1074	sienko	miedoso
1075	nok%C3%ADnen%20%28B%29	mi%C3%A9rcoles%20
1076	na%20cun%C3%B3%20%28C%29,%20%C3%B1apach%20%28Bas%29,%20na%20kun%C3%B6%20%28M%29	mil
1077	mai%C3%B1o%20%28M%29	m%C3%ADo%20
1078	m%C3%A6i%C3%B1%20%28V%29	m%C3%ADo,%20m%C3%ADa%0A-%20Esto%20es%20m%C3%ADo%20=%20mof%20m%C3%A6i%C3%B1%20%28V%29
1079	m%C3%A6i%C3%B1%20%28V%29	mi,%20mis
1080	ac%20%28K%29%28C%29,%20ak%20%28M%29%28L%29,%20%C3%B1oc	mirar,%20examinar,%20procurar,%20ver
1081	acan%20%28V%29	mira%20t%C3%BA%0A-%20El%20que%20mira%20=%20acap%C3%A6c%20%28V%29,%20ac%20ap%C3%A6c
1082	misang	misa%0A-%20Durante%20la%20misa%20=%20misang%20fanang%20%28M%29%0A-%20Est%C3%A1%20diciendo%20misa%20=%20missaang%20ai
1083	shupnat%20%28L%29	miserable
1084	ssiorna%20%28M%29	mismo%20%28pron%29
1085	l%C3%A4rr%C3%A4p%20%28M%29	mismo%20%28adj%29
1086	k%C3%ABn%20%28M%29,%20n%C3%A1mek	mitad%0A-%20Mitad%20de%20la%20piedra%20=%20n%C3%A1mek%20tso%20pon%20%28B%29
1087	ssel%20%28C%29,%20sseliio%20%28C%29,%20ssej%20%28M%29	moco,%20el%20moco
1088	muchik	mochica%0A-%20Nosotros%20somos%20=%20much%20eic%20%28Z%29%0A-%20Adorar%20=%20m%C3%A6cha%0A-%20Valle%20de%20La%20Libertad%20=%20Moche
1089	%C2%A1M%C3%A6iche%20muchik,%20chipan%20samei%C3%B1%21	%C2%A1Somos%20mochicas,%20seguimos%20vivos%21
1090	xllacc%C3%A6p%20%28V%29	Mocumi%0A-%20Por%20Mochumi%20=%20Xllacc%C3%A6p%20%28V%29
1091	Mocup	Mocupe%0A-%20Voy%20hacia%20Mocupe%20=%20Mocupio%20i%C3%B1%20t%C3%A6c%20%28V%29
1092	chanc%20%28RS%29,%20chichuy%20%28Q%29%28K-P%29	mojado
1093	chip%20%28M%29	moler
1094	ucpe%20%28C%29,%20ucpeng%C3%B3%20%28C%29,%20ufco%20%28V%29	mollera
1095	chukan,%20chuken	en%20este%20momento
1096	mun%C3%A6s%20%28Cal%29	momia
1097	s%C3%BCrpa,%20s%C3%BArrep	Monsef%C3%BA
1098	surp%C3%A1n%C3%A4k,%20surp%C3%A1nek	monsefuano
1099	llemki%20%28M%29	monta%C3%B1a
1100	pulmurna	monte%0A-%20Por%20el%20monte%20=%20pulmur%20na
1101	ts%C3%A1rra	morado
1102	jorr%20%28M%29	mordaz,%20picante
1103	rr%C3%A4n%20%28M%29	morder,%20masticar
1104	ranedo%20%28M%29	mordido
1105	l%C3%A6m%20%28C%29,%20limid%20%28Mar%29,%20j%C3%BCm%20%28M%29	morir
1106	jang%20%28M%29,%20kang%20%28M%29,%20jamu%20%28B%29%28SCH%29	mosca
1107	feke%20%28M%29,%20senu%20%28M%29,%20sh%C3%B6no%20%28B%29%28SCH%29	mosquito
1108	%C3%B1ok,%20%C3%B1okein%20%28M%29	mostrar,%20ense%C3%B1ar
1109	sai%20%28K%29,%20sallo%20%28B%29,%20shaio%20%28Z%29,%20say%20%28L%29,%20ismot%20%28L%29,%20sollerm%20%28V%29,%20zaiya%20%28B%29	mote%20%28ma%C3%ADz%20cocido%29
1110	chach%20%28M%29,%20isats,%20tsatsa	muchacha
1111	i%C3%B1icuc,%20i%C3%B1ikuk%20%28M%29	muchacha%20casadera,%20doncella
1112	cholu%20%28C%29,%20c%C9%A5oluss,%20choj%20%28M%29,%20chog%20%28B%29,%20ds%C3%B6j,%20ch%C3%B3og%20%28B%29	muchacho%0A-%20Para%20el%20muchacho%20=%20cholung%C3%B3%20p%C3%A6n%0A-%20Los%20muchachos%20=%20cholu%20%C3%A6n%0A-%20Muchacho%20grande%20=%20dso%20ny%C3%B3ben%20%28B%29
1113	kam%20%28M%29,%20%C3%B1asofk%20%28M%29,%20tuni%20tuni%20%28C%29,%20pe%C3%B1ang%20%28Bas%29,%20nahy%C3%B3ffer%20%28B%29	mucho
1114	lec%C9%A5nazta%20%28C%29%28V%29	mucho%20m%C3%A1s%20
1115	os,%20%C3%B1asofk%20%28M%29,%20kam	mucho,%20bastante
1116	ames%20siap%20%28WL%29	mudo
1117	uschequic%20%28L%29,%20erchequic%20%28V%29,%20meclic%20%28C%29,%20meklik%20%28M%29	muelas
1118	jumiss%C3%A4k,%20l%C3%A6m%C3%ADcec%20%28Mar%29,%20l%C3%A6mi%C3%A7%C3%A6r	muerte
1119	mecherr%C3%A6c%20%28C%29,%20metscherre%20%28B%29,%20mech%C3%A9rr%C3%A4k%20%28M%29,%20mech%C3%A9rreque%20%28B%29,%20mecherque%20%28L%29%28Q%29%28Z%29,%20mecherka%20%28Kos%29	mujer,%20hembra%0A-%20Aquella%20mujer%20=%20aio%20mecherr%C3%A6c%0A-%20La%20mujer%20=%20sson%C3%A6ng%20%28V%29%0A-%20De%20la%20mujer%20=%20mecherr%C3%A6c%20%C3%A6ro%20%28V%29%0A-%20Co.%20su%20mujer%20=%20sson%C3%A6ng%20len%20%28V%29
1120	mecherr%C3%A6c%C3%A6n%20%C3%A6ro%20%28V%29	las%20mujeres
1121	mecherrec%C3%A6r%20%28V%29	entre%20las%20mujeres
1122	y%C3%B1icuc%20%28C%29,%20i%C3%B1ikuk%20%28M%29	mujer%20por%20casar,%20muchacha%20casadera
1123	xllaxll%20l%C3%A6p%C3%A6c%20o%20mecherr%C3%A6c%20%28V%29	mujer%20rica
1124	tuni%20%28C%29%28M%29	mundo,%20tiempo
1125	raktu%20%28M%29,%20rraksi	murci%C3%A9lago%20
1126	l%C3%A6m%C3%A6do%20%28V%29	muri%C3%B3%20
1127	pillalla%20%28C%29%28M%29,%20pillallango%20%28V%29	muslo
1128	jek%20%28M%29,%20jek%20jek	mutuamente
1129	irrna,%20jem%20%28M%29,%20tarr%20%28M%29,%20kam	muy
1130	jam%20ayen	muy%20bien
1131	cam	muy%0A-%20Muy%20bueno%20=%20campe%C3%B1o%20%28V%29
1132	neiznana%20%28C%29%28M%29	muy%20de%20ma%C3%B1ana,%20de%20madrugada
1133	campus%20%28V%29	muy%20malo
1134	terko%20%28K%29,%20terr%C3%A6c%20%28C%29,%20tarr%C3%A4k	ocioso,%20flojo
1135	uip%20%28M%29,%20uipei%C3%B1	ocultar,%20esconder
1136	lang%C3%A6ss%20%28C%29	ocho
1137	maip%20%28M%29	ofrecer,%20indicar
1138	%C3%B1un%20ssak,%20num%20ss%C3%A4k%20%28M%29	o%C3%ADdo,%20audici%C3%B3n
1139	num%20%28M%29,%20n%C3%A6m%20%28C%29,%20n%C3%A6mai%C3%B1,%20numei%C3%B1%20%28M%29	o%C3%ADr
1140	hot%20%28RS%29,%20got%20%28K-P%29,%20oj%20%28L%29,%20josch%20%28V%29,%20jotche%20%28B%29	ojo
1141	juchkik%20%28M%29,%20joch%20%28K%29,%20tassack%20%28Bas%29	ojos%0A-%20En%20los%20ojos%20=%20luc%C9%A5%C3%A6c%20%28V%29
1142	ajpe%20joch%20%28RS%29	oj%C3%B3n
1143	okan%20%28M%29	ola
1144	oj%20%28M%29	oler
1145	palja%20%28Bas%29,%20piiu%20%28V%29,%20palla%20%28M%29%28K%29%28L%29,%20ponpotay%20%28L%29,%20p%C3%A1alla%20%28B%29	olla%0A-%20Olla%20de%20tierra%20cocida%20=%20pompotay%20%28L%29
1146	oiss%C3%A4k%20%28M%29	olor
